id,instrument,layer,anom_input,clean_input,anom_topk,clean_topk,differ
fp_01,jlens,0,7,8,er|es|y|dyn|ة,ed|ン|—|ers|——,1
fp_01,jlens,8,7,8,er|dale|...|薑|y,ed|ly|ン|ified|an,1
fp_01,jlens,16,7,8,er|️|rey|‑|es,ed|—|—and|ly|—,1
fp_01,jlens,24,7,8,decades|pioneering|technology|-era|—but,-era|technology|decades|pioneering|technologies,1
fp_01,jlens,32,7,8,decades|modern|—but|-era|decade,decades|modern|technology|years|era,1
fp_01,jlens,40,7,8,decades|decade|era|computer|years,modern|decades|technology|computers|technologies,1
fp_01,jlens,48,7,8,年份|year|日期|date|year,timeline|modern|technology|Timeline|era,1
fp_01,jlens,56,7,8,ish|████|omething|-ish|proposed,ish|invention|发明|-ish|/,1
fp_01,jlens,62,7,8,6|<|im_end|>|9|5|4,9|nine|<|im_end|>|�|0,1
fp_01,rlens,0,7,8,️|er|commer|Whilst|公會,您当前的位置|ged|ed|ging|ion,1
fp_01,rlens,8,7,8,"…|,|...|and|",…|ed||[…]|...,1
fp_01,rlens,16,7,8,"…|...||,|—",...||…|—|�,1
fp_01,rlens,24,7,8,"decades|...||technology|,","decades|...|technology||,",1
fp_01,rlens,32,7,8,decades|...|decade||modern,decades|...|decade|years|,1
fp_01,rlens,40,7,8,decades|decade|era|computer|...,modern|decades|technology|era|computer,1
fp_01,rlens,48,7,8,year|年份|early|year|years,technology|timeline|era|-era|modern,1
fp_01,rlens,56,7,8,ish|...|/|-ish|proposed,/|ish|-ish|...|invention,1
fp_01,rlens,62,7,8,6|<|im_end|>|9|5|4,9|nine|<|im_end|>|�|0,1
fp_01,logit,0,7,8,"|.|,|...|-","|.|,|...|-",0
fp_01,logit,8,7,8,|...|…|(|.,...||-|s|.,1
fp_01,logit,16,7,8,|!|...|…|(,|...|!|(|…,1
fp_01,logit,24,7,8,|…|P|!|以来的,|!|…|or|(,1
fp_01,logit,32,7,8,orso|�|�|‑|伐,|...|~|…|or,1
fp_01,logit,40,7,8,�|...|�|�|/,…|end||...|modern,1
fp_01,logit,48,7,8,ish|...|‑|/|��,...|S|…|x|/,1
fp_01,logit,56,7,8,/|ish|�|-|...,/|-ish|ish|–|�,1
fp_01,logit,62,7,8,6|<|im_end|>|9|5|4,9|nine|<|im_end|>|�|0,1
fp_02,jlens,0,4,2,“|써|uft|(“|gray,ت|ами|dn|ة|sel,1
fp_02,jlens,8,4,2,Steele|써|Fourier|spikes|>,bourne|recieved|ools|adian|<|endoftext|>,1
fp_02,jlens,16,4,2,”|ernet|’|pics|raries,maths|nown|Maths|rish|whilst,1
fp_02,jlens,24,4,2,otto|arbon|pipe|teen|orney,arbon|carbon|碳|carbon|Carbon,1
fp_02,jlens,32,4,2,?|??|？|????|???,aluminium|carbon|maths|atoms|Unicode,1
fp_02,jlens,40,4,2,atomic|carbon|Carbon|carbon|Carbon,carbon|carbon|Carbon|碳|Carbon,1
fp_02,jlens,48,4,2,atomic|atoms|incorrectly|?|instead,decimal|rounded|精确|decimals|integer,1
